,fpr,tpr
0,0.0,0.0
1,0.0,0.021739130434782608
2,0.0,0.43478260869565216
3,0.08333333333333333,0.43478260869565216
4,0.08333333333333333,0.6739130434782609
5,0.25,0.6739130434782609
6,0.25,0.6956521739130435
7,0.3333333333333333,0.6956521739130435
8,0.3333333333333333,0.8913043478260869
9,0.5833333333333334,0.8913043478260869
10,0.5833333333333334,0.9130434782608695
11,0.75,0.9130434782608695
12,0.75,0.9347826086956522
13,0.9166666666666666,0.9347826086956522
14,0.9166666666666666,1.0
15,1.0,1.0
